n_snps,panel,reductor,classifier,fold,acc,f1,mcc,roc_auc
40,stat,EN,RF,2,0.900990099009901,0.894738559836557,0.8490328592922661,0.9794470875871412
40,stat,EN,XGB,2,0.9108910891089109,0.908789418377086,0.861404627522072,0.9707089050309389
40,stat,EN,LR,2,0.9306930693069307,0.9304660782820363,0.892182469030963,0.9775134045093902
40,stat,EN,SVM_RBF,2,0.9108910891089109,0.9090604290953738,0.8622803273877258,0.9662798710523957
40,stat,EN,SVM_Lin,2,0.900990099009901,0.8987502997403987,0.8463420892247127,0.967064790035352
40,stat,EN,GBM,2,0.8712871287128713,0.8660195300533164,0.7991891924909039,0.9735827327263545
40,stat,EN,RF,3,0.9108910891089109,0.910018902724378,0.8611644539989828,0.9885677996712615
40,stat,EN,XGB,3,0.9306930693069307,0.929909054591096,0.8923420449476978,0.9883455865753269
40,stat,EN,LR,3,0.9405940594059405,0.9405843400922437,0.9082376072255518,0.9909033727877158
40,stat,EN,SVM_RBF,3,0.9108910891089109,0.9106435643564356,0.8620006099420555,0.9878667566806826
40,stat,EN,SVM_Lin,3,0.9306930693069307,0.9308791781433782,0.8926724215495168,0.9906538168536595
40,stat,EN,GBM,3,0.8712871287128713,0.8699009602857304,0.799666932824595,0.9816943841629128
40,stat,EN,RF,4,0.91,0.9104260651629074,0.8597815814768623,0.9794299704788519
40,stat,EN,XGB,4,0.87,0.8717149236531259,0.8012284132166494,0.9754287896966377
40,stat,EN,LR,4,0.89,0.890424883758217,0.8295397420416966,0.9802927581321521
40,stat,EN,SVM_RBF,4,0.89,0.8904010025062656,0.8284826524096304,0.9779139324640997
40,stat,EN,SVM_Lin,4,0.9,0.899702380952381,0.8452602273724372,0.975365900720691
40,stat,EN,GBM,4,0.85,0.8514998598261844,0.7696093491968994,0.9661195762532304
45,stat,EN,RF,0,0.9108910891089109,0.9080409350406887,0.8626326168393075,0.9873122070713505
45,stat,EN,XGB,0,0.9108910891089109,0.9097978000435145,0.8627620170385611,0.9886514190372352
45,stat,EN,LR,0,0.9207920792079208,0.9189321529038869,0.8776172030248928,0.9848996903747128
45,stat,EN,SVM_RBF,0,0.9207920792079208,0.9189321529038869,0.8776172030248928,0.9921441433149729
45,stat,EN,SVM_Lin,0,0.9108910891089109,0.9088526111693351,0.861524860534473,0.9849911973908405
45,stat,EN,GBM,0,0.8514851485148515,0.8490502896443491,0.7680733765479648,0.9783606851403461
45,stat,EN,RF,1,0.9306930693069307,0.9306998975759644,0.8923207944000032,0.987777470984429
45,stat,EN,XGB,1,0.9504950495049505,0.950201162036299,0.9242522092141813,0.9910247605831906
45,stat,EN,LR,1,0.9405940594059405,0.9403791541944893,0.9078894173819229,0.9898705686060727
45,stat,EN,SVM_RBF,1,0.9207920792079208,0.920492973047406,0.8775528299796925,0.9829136164327958
45,stat,EN,SVM_Lin,1,0.9405940594059405,0.9405940594059405,0.9075091575091575,0.9901254430803941
45,stat,EN,GBM,1,0.9306930693069307,0.9301811133494302,0.8938102158778236,0.9896418305651133
45,stat,EN,RF,2,0.900990099009901,0.8920431283634693,0.8505833955341575,0.9790980511542511
45,stat,EN,XGB,2,0.9108910891089109,0.9063444806019063,0.8626967687390741,0.9806329028786656
45,stat,EN,LR,2,0.9504950495049505,0.9497352124331296,0.9250120952874528,0.9785902491633983
45,stat,EN,SVM_RBF,2,0.9108910891089109,0.909590263636013,0.8618553497096394,0.9714312263710122
45,stat,EN,SVM_Lin,2,0.9306930693069307,0.9283422188372684,0.8962381050727772,0.9802683497821768
45,stat,EN,GBM,2,0.8910891089108911,0.8871123401679907,0.8304642965828187,0.9791928031000289
45,stat,EN,RF,3,0.9207920792079208,0.9200189875713124,0.8766803073179165,0.9871166598940005
45,stat,EN,XGB,3,0.9405940594059405,0.9404198215437475,0.9074820385123631,0.9890860046937938
45,stat,EN,LR,3,0.9504950495049505,0.9504310407532085,0.9229051752575707,0.9879610576502788
45,stat,EN,SVM_RBF,3,0.9306930693069307,0.9303980669069617,0.8923420449476978,0.9870490413074992
45,stat,EN,SVM_Lin,3,0.9306930693069307,0.9307331573493486,0.8924818879942835,0.9842151488689649
45,stat,EN,GBM,3,0.9207920792079208,0.9208881301211015,0.8768879636891862,0.9875157068213717
45,stat,EN,RF,4,0.91,0.9105882352941177,0.8604128411008478,0.9876263164515448
45,stat,EN,XGB,4,0.86,0.8616169590643276,0.7858712235175672,0.9804764161262917
